audio1|now what |now what 
audio30|need to be you here jerking off and celebrating loser awareness day in the only way you know how this is your |need to be you here jerking off and celebrating loser awareness day in the only way you know how this is your 
audio31|i've put it on for you it's right here it's right now with your dick in the palm of your hand wanking it to my cleavage |i've put it on for you it's right here it's right now with your dick in the palm of your hand wanking it to my cleavage 
audio32|my lips to my legs to my panties go on fuck that fist for me this valentine's day loser |my lips to my legs to my panties go on fuck that fist for me this valentine's day loser 
audio33|pump that cock and celebrate yourself it all of you lose the glory if you had friends who would be able to do that |pump that cock and celebrate yourself it all of you lose the glory if you had friends who would be able to do that 
audio34|have you had any chance of pairing off of coupling up this valentine's day he wouldn't be able to stroke to this butt right now |have you had any chance of pairing off of coupling up this valentine's day he wouldn't be able to stroke to this butt right now 
audio35|you're so lucky to be a loser you're so lucky that i put on this event for |you're so lucky to be a loser you're so lucky that i put on this event for 
audio36|you are such an easy tinny little price ah go on looser pump your dick solid |you are such an easy tinny little price ah go on looser pump your dick solid 
audio37|ray in the best in the only way that you know how book there's no other choice for you this phone and stays there you can't go out |ray in the best in the only way that you know how book there's no other choice for you this phone and stays there you can't go out 
audio38|speed dating you have known to go to a club with you would know what to say to a woman a bar oh she's safe place |speed dating you have known to go to a club with you would know what to say to a woman a bar oh she's safe place 
audio39|this is your sanctuary and if you to make it really sweet go ahead of pay me too because i'm probably out getting laid right now |this is your sanctuary and if you to make it really sweet go ahead of pay me too because i'm probably out getting laid right now 
audio40|if not i'm probably out speed dating right now if not i'm probably out with my gallon times right now having far more fun than you could |if not i'm probably out speed dating right now if not i'm probably out with my gallon times right now having far more fun than you could 
audio41|possibly imagine ah looser it must really her to be alone on valentine's day |possibly imagine ah looser it must really her to be alone on valentine's day 
audio43|me huh come on pump that dick stroke it make it hard |me huh come on pump that dick stroke it make it hard 
audio44|you are going to have such a good time tonight edging for me you are going to have such a good time cumming for me unlike you come |you are going to have such a good time tonight edging for me you are going to have such a good time cumming for me unlike you come 
audio45|the hum of the end of this clip if you want to or if you want to make a whole night of it which i'm thinking you probably will take your mind off the fact |the hum of the end of this clip if you want to or if you want to make a whole night of it which i'm thinking you probably will take your mind off the fact 
audio46|the year so lonely and you can just get to an edge instead you can ignore my little cum command and you could just bring us |the year so lonely and you can just get to an edge instead you can ignore my little cum command and you could just bring us 
audio48|two more clips and fill thosees of pleasure which you know would feel so much better than being sat across from |two more clips and fill thosees of pleasure which you know would feel so much better than being sat across from 
audio51|thesees of pleasure these edges those laced with my humiliating words really |thesees of pleasure these edges those laced with my humiliating words really 
audio52|really just make your name then and oh at least half me very busy |really just make your name then and oh at least half me very busy 
audio54|into your eyes renouncing i want you get hard for me but i'm not i'm saying usda |into your eyes renouncing i want you get hard for me but i'm not i'm saying usda 
audio55|i hundreds to thousands of guys thousand the losers just like you lonely alone of virginal so |i hundreds to thousands of guys thousand the losers just like you lonely alone of virginal so 
audio56|so rejects jerking addicts edging hand hampers just gave it up i'll play the role |so rejects jerking addicts edging hand hampers just gave it up i'll play the role 
audio57|i'll be a little virtual girlfriend even if i do have to throw in some humiliation here and there i want you to get hard for |i'll be a little virtual girlfriend even if i do have to throw in some humiliation here and there i want you to get hard for 
audio58|we do like hearing that to like seeing my beautiful smiling face and imagining that i was like knelt between your legs |we do like hearing that to like seeing my beautiful smiling face and imagining that i was like knelt between your legs 
audio59|if i were right there at the end of your bed just playing on my hair just licking my lips |if i were right there at the end of your bed just playing on my hair just licking my lips 
audio60|teasing you and telling you yeah i like that yeah i like you're getting hard for me |teasing you and telling you yeah i like that yeah i like you're getting hard for me 
audio61|are you gonna cum for me  ah those balls filling up for me |are you gonna cum for me  ah those balls filling up for me 
audio62|i like it i like watching this affect that i have on you are you stroking it for my tits  |i like it i like watching this affect that i have on you are you stroking it for my tits  
audio63|so soft oh yeah are you stroking it for my nipples oh |so soft oh yeah are you stroking it for my nipples oh 
audio64|are you stroking it for my hot body i hope so mmm are you stroking it on my |are you stroking it for my hot body i hope so mmm are you stroking it on my 
audio65|ah  ohh oh do it go on stroke it for my ass |ah  ohh oh do it go on stroke it for my ass 
audio66|loser oh oh and get ready to finish off because i have |loser oh oh and get ready to finish off because i have 
audio67|this is be oh that just break down your little forcade did i just break down a little fantasy oops |this is be oh that just break down your little forcade did i just break down a little fantasy oops 
audio68|the always on my terms always on my rules or miss london lix said if you want to cum you're gonna cum |the always on my terms always on my rules or miss london lix said if you want to cum you're gonna cum 
audio69|really really soon and if you want to get to an edge you're going to be there even sooner get ready and |really really soon and if you want to get to an edge you're going to be there even sooner get ready and 
audio71|handing like i'm talking chose to you this loser awareness day soaking up of vent after |handing like i'm talking chose to you this loser awareness day soaking up of vent after 
audio72|then that i've put on for you and doing exactly what you do best |then that i've put on for you and doing exactly what you do best 
audio73|now cum for me i'll get to an edge whichever you prefer i don't really care |now cum for me i'll get to an edge whichever you prefer i don't really care 
audio74|by the way oops as an event planner im supposed to put a little bit more effort why would i ever put em more |by the way oops as an event planner im supposed to put a little bit more effort why would i ever put em more 
audio75|that is absolutely necessary and when i'm catering to loses let me tell you the statutes are really wow thanks |that is absolutely necessary and when i'm catering to loses let me tell you the statutes are really wow thanks 
audio76|thanks for making my life easy thanks for making my job so effortless so that i can fuck off out right now and get fucked |thanks for making my life easy thanks for making my job so effortless so that i can fuck off out right now and get fucked 
